Zone (string),Apartment_Type (string),Floor Height (m),L(a)eq (dB),Day/Night(string),Total Surface (sqm),Element: Materials (string),Absorption Coefficient by Area (m),RT60 (s),n. of sound sources (int),Average Sound Source distance (m),SPL (dB),Barrier distance (m),Barrier Height (m),SPL after barrier (dB),SPL after façade dampening (dB),Comfort index (float)
HD-Urban-V0,2Bed,12,40.48,day,126,"Window: Small Pane Glass and Painted Brick; Window: Large Pane Glass and Gypsum Board; Window: Frosted Glass and Concrete Block (Painted); Window: Laminated Glass and Fiberglass Board; Door: Steel Door with Acoustic Treatment and Unpainted Brick; Wall: Gypsum Board; Wall: Painted Brick; Wall: Plaster with Wallpaper Backing; Floor: Wood Parquet; Floor: Thin Carpet on Wood; Floor: Marble; Ceiling: 50mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass; Ceiling: Metal Deck (Perforated Channels, 25mm Batts)",19.476,0.892791,4,15.399107,22.78421,1.2,0.0,22.78421,16.102029,0.456052
Roadside-V3,1Bed,12,61.05,day,90,"Window: Glazed Ceramic Tile and Painted Brick; Door: Single Pane Glass Door and Concrete Block (Coarse); Wall: Gypsum Board; Wall: Acoustic Plaster; Wall: Acoustic Plaster; Wall: Unpainted Brick; Floor: Thick Pile Carpet; Floor: Medium Pile Carpet; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: Underlay in Perforated Metal Panels (25mm Batts)",27.459,0.316695,1,17.391305,36.24645,1.2,5.3,31.482454,10.908271,0.364034
Roadside-V1,3Bed,15,50.03,day,162,"Window: Large Pane Glass and Concrete Block (Coarse); Window: Insulated Glazing Unit and Unpainted Brick; Window: Double Pane Glass and Fiberglass Board; Window: Single Pane Glass and Plaster on Masonry; Door: Double Pane Glass Door and Gypsum Board; Wall: Concrete Block (Coarse); Wall: Plaster on Masonry; Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Concrete Block (Coarse); Floor: Cork Floor Tiles; Floor: Thin Carpet on Wood; Floor: Thick Pile Carpet; Floor: Terrazzo; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 50mm Mineral Wool Behind 25% Open Area Perforated Steel; Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",43.947,0.593488,4,20.947518,29.644431,1.2,5.3,24.874631,14.316023,0.77818
Roadside-V3,3Bed,15,61.05,day,162,"Window: Double Pane Glass and Plaster with Wallpaper Backing; Window: Frosted Glass and Acoustic Plaster; Window: Glazed Ceramic Tile and Plaster on Masonry; Window: Glazed Ceramic Tile and Wood Paneling; Window: Wired Glass and Painted Brick; Door: Single Pane Glass Door and Plaster with Wallpaper Backing; Wall: Concrete Block (Coarse); Wall: Acoustic Plaster; Wall: Painted Brick; Wall: Wood Paneling; Floor: Wood Parquet; Floor: Marble; Floor: Thin Carpet on Concrete; Floor: Thin Carpet on Wood; Ceiling: Underlay in Perforated Metal Panels (25mm Batts); Ceiling: Perforated Underside of Structural Steel Decking; Ceiling: Plasterboard 10mm Thick Backed with 25mm Thick Bitumen; Ceiling: Mineral Wool Tiles, 180mm Airspace",34.029,0.766464,5,21.088258,40.664431,1.2,5.3,35.894646,24.415529,0.780231
LD-Urban-V3,3Bed,3,43.21,day,162,"Window: Frosted Glass and Fiberglass Board; Window: Laminated Glass and Unpainted Brick; Window: Single Pane Glass and Plaster with Wallpaper Backing; Window: Wired Glass and Wood Paneling; Window: Single Pane Glass and Fiberglass Board; :  and Painted Brick; Door: Plywood Door and Wood Paneling; Wall: Acoustic Plaster; Wall: Wood Paneling; Wall: Acoustic Plaster; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Floor: Wood Flooring on Joists; Floor: Thin Carpet on Concrete; Ceiling: Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing; Ceiling: Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Perforated Underside of Structural Steel Decking",43.173,0.604128,6,11.906675,27.429652,1.2,5.3,22.552076,10.872859,0.712298
Roadside-V1,1Bed,6,39.94,night,90,"Window: Wired Glass and Concrete Block (Painted); Door: Laminated Glass Door and Wood Paneling; Wall: Fiberglass Board; Wall: Plaster on Masonry; Wall: Fiberglass Board; Wall: Plaster on Masonry; Floor: Thick Pile Carpet; Floor: Thin Carpet on Concrete; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: Gypsum Plaster Tiles, 17% Perforated, 22mm",28.746,0.302516,1,13.296996,17.692433,1.2,5.3,13.307853,8.549697,0.299139
Ind-Zone-V0,2Bed,6,66.84,day,126,"Window: Glass Block and Wood Paneling; Window: Small Pane Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Fiberglass Board; Wall: Wood Paneling; Wall: Unpainted Brick; Wall: Concrete Block (Painted); Wall: Plaster with Wallpaper Backing; Wall: Acoustic Plaster; Floor: Vinyl Tile; Floor: Wood Parquet; Floor: Thin Carpet on Wood; Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing); Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",29.142,0.596665,2,20.659078,43.563027,1.2,5.3,38.711466,29.165497,0.936324
HD-Urban-V0,2Bed,12,40.48,day,126,"Window: Small Pane Glass and Painted Brick; Window: Large Pane Glass and Gypsum Board; Window: Frosted Glass and Concrete Block (Painted); Window: Laminated Glass and Fiberglass Board; Door: Steel Door with Acoustic Treatment and Unpainted Brick; Wall: Gypsum Board; Wall: Painted Brick; Wall: Plaster with Wallpaper Backing; Floor: Wood Parquet; Floor: Thin Carpet on Wood; Floor: Marble; Ceiling: 50mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass; Ceiling: Metal Deck (Perforated Channels, 25mm Batts)",19.476,0.892791,4,14.877112,23.07699,1.84,0.0,23.07699,16.355186,0.461115
Roadside-V3,1Bed,12,61.05,day,90,"Window: Glazed Ceramic Tile and Painted Brick; Door: Single Pane Glass Door and Concrete Block (Coarse); Wall: Gypsum Board; Wall: Acoustic Plaster; Wall: Acoustic Plaster; Wall: Unpainted Brick; Floor: Thick Pile Carpet; Floor: Medium Pile Carpet; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: Underlay in Perforated Metal Panels (25mm Batts)",27.459,0.316695,1,16.658256,36.620248,1.84,0.0,36.620248,15.248853,0.450846
Roadside-V1,3Bed,15,50.03,day,162,"Window: Large Pane Glass and Concrete Block (Coarse); Window: Insulated Glazing Unit and Unpainted Brick; Window: Double Pane Glass and Fiberglass Board; Window: Single Pane Glass and Plaster on Masonry; Door: Double Pane Glass Door and Gypsum Board; Wall: Concrete Block (Coarse); Wall: Plaster on Masonry; Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Concrete Block (Coarse); Floor: Cork Floor Tiles; Floor: Thin Carpet on Wood; Floor: Thick Pile Carpet; Floor: Terrazzo; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 50mm Mineral Wool Behind 25% Open Area Perforated Steel; Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",43.947,0.593488,4,20.233827,29.944432,1.84,0.0,29.944432,19.380021,0.87946
Roadside-V3,3Bed,15,61.05,day,162,"Window: Double Pane Glass and Plaster with Wallpaper Backing; Window: Frosted Glass and Acoustic Plaster; Window: Glazed Ceramic Tile and Plaster on Masonry; Window: Glazed Ceramic Tile and Wood Paneling; Window: Wired Glass and Painted Brick; Door: Single Pane Glass Door and Plaster with Wallpaper Backing; Wall: Concrete Block (Coarse); Wall: Acoustic Plaster; Wall: Painted Brick; Wall: Wood Paneling; Floor: Wood Parquet; Floor: Marble; Floor: Thin Carpet on Concrete; Floor: Thin Carpet on Wood; Ceiling: Underlay in Perforated Metal Panels (25mm Batts); Ceiling: Perforated Underside of Structural Steel Decking; Ceiling: Plasterboard 10mm Thick Backed with 25mm Thick Bitumen; Ceiling: Mineral Wool Tiles, 180mm Airspace",34.029,0.766464,5,20.36613,40.964432,1.84,0.0,40.964432,29.486923,0.727821
LD-Urban-V3,3Bed,3,43.21,day,162,"Window: Frosted Glass and Fiberglass Board; Window: Laminated Glass and Unpainted Brick; Window: Single Pane Glass and Plaster with Wallpaper Backing; Window: Wired Glass and Wood Paneling; Window: Single Pane Glass and Fiberglass Board; :  and Painted Brick; Door: Plywood Door and Wood Paneling; Wall: Acoustic Plaster; Wall: Wood Paneling; Wall: Acoustic Plaster; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Floor: Wood Flooring on Joists; Floor: Thin Carpet on Concrete; Ceiling: Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing; Ceiling: Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Perforated Underside of Structural Steel Decking",43.173,0.604128,6,10.813707,28.263112,1.84,0.0,28.263112,16.5319,0.825478
Roadside-V1,1Bed,6,39.94,night,90,"Window: Wired Glass and Concrete Block (Painted); Door: Laminated Glass Door and Wood Paneling; Wall: Fiberglass Board; Wall: Plaster on Masonry; Wall: Fiberglass Board; Wall: Plaster on Masonry; Floor: Thick Pile Carpet; Floor: Thin Carpet on Concrete; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: Gypsum Plaster Tiles, 17% Perforated, 22mm",28.746,0.302516,1,12.322747,18.32195,1.84,0.0,18.32195,12.473161,0.377609
Ind-Zone-V0,2Bed,6,66.84,day,126,"Window: Glass Block and Wood Paneling; Window: Small Pane Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Fiberglass Board; Wall: Wood Paneling; Wall: Unpainted Brick; Wall: Concrete Block (Painted); Wall: Plaster with Wallpaper Backing; Wall: Acoustic Plaster; Floor: Vinyl Tile; Floor: Wood Parquet; Floor: Thin Carpet on Wood; Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing); Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",29.142,0.596665,2,19.546016,44.045431,1.84,0.0,44.045431,34.496433,0.860167
HD-Urban-V0,2Bed,12,40.48,day,126,"Window: Small Pane Glass and Painted Brick; Window: Large Pane Glass and Gypsum Board; Window: Frosted Glass and Concrete Block (Painted); Window: Laminated Glass and Fiberglass Board; Door: Steel Door with Acoustic Treatment and Unpainted Brick; Wall: Gypsum Board; Wall: Painted Brick; Wall: Plaster with Wallpaper Backing; Floor: Wood Parquet; Floor: Thin Carpet on Wood; Floor: Marble; Ceiling: 50mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass; Ceiling: Metal Deck (Perforated Channels, 25mm Batts)",19.476,0.892791,4,15.493417,22.73221,1.36,0.0,22.73221,16.055706,0.455125
Roadside-V3,1Bed,12,61.05,day,90,"Window: Glazed Ceramic Tile and Painted Brick; Door: Single Pane Glass Door and Concrete Block (Coarse); Wall: Gypsum Board; Wall: Acoustic Plaster; Wall: Acoustic Plaster; Wall: Unpainted Brick; Floor: Thick Pile Carpet; Floor: Medium Pile Carpet; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: Underlay in Perforated Metal Panels (25mm Batts)",27.459,0.316695,1,17.51849,36.183205,1.36,0.0,36.183205,14.852536,0.44292
Roadside-V1,3Bed,15,50.03,day,162,"Window: Large Pane Glass and Concrete Block (Coarse); Window: Insulated Glazing Unit and Unpainted Brick; Window: Double Pane Glass and Fiberglass Board; Window: Single Pane Glass and Plaster on Masonry; Door: Double Pane Glass Door and Gypsum Board; Wall: Concrete Block (Coarse); Wall: Plaster on Masonry; Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Concrete Block (Coarse); Floor: Cork Floor Tiles; Floor: Thin Carpet on Wood; Floor: Thick Pile Carpet; Floor: Terrazzo; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 50mm Mineral Wool Behind 25% Open Area Perforated Steel; Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",43.947,0.593488,4,21.070766,29.593625,1.36,0.0,29.593625,19.036202,0.872584
Roadside-V3,3Bed,15,61.05,day,162,"Window: Double Pane Glass and Plaster with Wallpaper Backing; Window: Frosted Glass and Acoustic Plaster; Window: Glazed Ceramic Tile and Plaster on Masonry; Window: Glazed Ceramic Tile and Wood Paneling; Window: Wired Glass and Painted Brick; Door: Single Pane Glass Door and Plaster with Wallpaper Backing; Wall: Concrete Block (Coarse); Wall: Acoustic Plaster; Wall: Painted Brick; Wall: Wood Paneling; Floor: Wood Parquet; Floor: Marble; Floor: Thin Carpet on Concrete; Floor: Thin Carpet on Wood; Ceiling: Underlay in Perforated Metal Panels (25mm Batts); Ceiling: Perforated Underside of Structural Steel Decking; Ceiling: Plasterboard 10mm Thick Backed with 25mm Thick Bitumen; Ceiling: Mineral Wool Tiles, 180mm Airspace",34.029,0.766464,5,21.212828,40.613625,1.36,0.0,40.613625,29.1336,0.732869
LD-Urban-V3,3Bed,3,43.21,day,162,"Window: Frosted Glass and Fiberglass Board; Window: Laminated Glass and Unpainted Brick; Window: Single Pane Glass and Plaster with Wallpaper Backing; Window: Wired Glass and Wood Paneling; Window: Single Pane Glass and Fiberglass Board; :  and Painted Brick; Door: Plywood Door and Wood Paneling; Wall: Acoustic Plaster; Wall: Wood Paneling; Wall: Acoustic Plaster; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Floor: Wood Flooring on Joists; Floor: Thin Carpet on Concrete; Ceiling: Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing; Ceiling: Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Perforated Underside of Structural Steel Decking",43.173,0.604128,6,12.090943,27.297045,1.36,2.7,22.515503,10.846333,0.711767
Roadside-V1,1Bed,6,39.94,night,90,"Window: Wired Glass and Concrete Block (Painted); Door: Laminated Glass Door and Wood Paneling; Wall: Fiberglass Board; Wall: Plaster on Masonry; Wall: Fiberglass Board; Wall: Plaster on Masonry; Floor: Thick Pile Carpet; Floor: Thin Carpet on Concrete; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: Gypsum Plaster Tiles, 17% Perforated, 22mm",28.746,0.302516,1,13.462915,17.590283,1.36,2.7,13.252171,8.512151,0.298388
Ind-Zone-V0,2Bed,6,66.84,day,126,"Window: Glass Block and Wood Paneling; Window: Small Pane Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Fiberglass Board; Wall: Wood Paneling; Wall: Unpainted Brick; Wall: Concrete Block (Painted); Wall: Plaster with Wallpaper Backing; Wall: Acoustic Plaster; Floor: Vinyl Tile; Floor: Wood Parquet; Floor: Thin Carpet on Wood; Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing); Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",29.142,0.596665,2,20.84553,43.484777,1.36,2.7,38.706948,29.159708,0.936406
HD-Urban-V0,2Bed,12,40.48,day,126,"Window: Small Pane Glass and Painted Brick; Window: Large Pane Glass and Gypsum Board; Window: Frosted Glass and Concrete Block (Painted); Window: Laminated Glass and Fiberglass Board; Door: Steel Door with Acoustic Treatment and Unpainted Brick; Wall: Gypsum Board; Wall: Painted Brick; Wall: Plaster with Wallpaper Backing; Floor: Wood Parquet; Floor: Thin Carpet on Wood; Floor: Marble; Ceiling: 50mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass; Ceiling: Metal Deck (Perforated Channels, 25mm Batts)",19.476,0.892791,4,15.306827,22.835355,1.04,0.0,22.835355,16.147237,0.456956
Roadside-V3,1Bed,12,61.05,day,90,"Window: Glazed Ceramic Tile and Painted Brick; Door: Single Pane Glass Door and Concrete Block (Coarse); Wall: Gypsum Board; Wall: Acoustic Plaster; Wall: Acoustic Plaster; Wall: Unpainted Brick; Floor: Thick Pile Carpet; Floor: Medium Pile Carpet; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: Underlay in Perforated Metal Panels (25mm Batts)",27.459,0.316695,1,17.2655,36.309466,1.04,0.0,36.309466,14.966647,0.445202
Roadside-V1,3Bed,15,50.03,day,162,"Window: Large Pane Glass and Concrete Block (Coarse); Window: Insulated Glazing Unit and Unpainted Brick; Window: Double Pane Glass and Fiberglass Board; Window: Single Pane Glass and Plaster on Masonry; Door: Double Pane Glass Door and Gypsum Board; Wall: Concrete Block (Coarse); Wall: Plaster on Masonry; Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Concrete Block (Coarse); Floor: Cork Floor Tiles; Floor: Thin Carpet on Wood; Floor: Thick Pile Carpet; Floor: Terrazzo; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 50mm Mineral Wool Behind 25% Open Area Perforated Steel; Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",43.947,0.593488,4,20.825462,29.695031,1.04,0.0,29.695031,19.135882,0.874577
Roadside-V3,3Bed,15,61.05,day,162,"Window: Double Pane Glass and Plaster with Wallpaper Backing; Window: Frosted Glass and Acoustic Plaster; Window: Glazed Ceramic Tile and Plaster on Masonry; Window: Glazed Ceramic Tile and Wood Paneling; Window: Wired Glass and Painted Brick; Door: Single Pane Glass Door and Plaster with Wallpaper Backing; Wall: Concrete Block (Coarse); Wall: Acoustic Plaster; Wall: Painted Brick; Wall: Wood Paneling; Floor: Wood Parquet; Floor: Marble; Floor: Thin Carpet on Concrete; Floor: Thin Carpet on Wood; Ceiling: Underlay in Perforated Metal Panels (25mm Batts); Ceiling: Perforated Underside of Structural Steel Decking; Ceiling: Plasterboard 10mm Thick Backed with 25mm Thick Bitumen; Ceiling: Mineral Wool Tiles, 180mm Airspace",34.029,0.766464,5,20.964857,40.715031,1.04,0.0,40.715031,29.235643,0.731411
LD-Urban-V3,3Bed,3,43.21,day,162,"Window: Frosted Glass and Fiberglass Board; Window: Laminated Glass and Unpainted Brick; Window: Single Pane Glass and Plaster with Wallpaper Backing; Window: Wired Glass and Wood Paneling; Window: Single Pane Glass and Fiberglass Board; :  and Painted Brick; Door: Plywood Door and Wood Paneling; Wall: Acoustic Plaster; Wall: Wood Paneling; Wall: Acoustic Plaster; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Floor: Wood Flooring on Joists; Floor: Thin Carpet on Concrete; Ceiling: Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing; Ceiling: Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Perforated Underside of Structural Steel Decking",43.173,0.604128,6,11.722958,27.564007,1.04,0.0,27.564007,15.879701,0.812434
Roadside-V1,1Bed,6,39.94,night,90,"Window: Wired Glass and Concrete Block (Painted); Door: Laminated Glass Door and Wood Paneling; Wall: Fiberglass Board; Wall: Plaster on Masonry; Wall: Fiberglass Board; Wall: Plaster on Masonry; Floor: Thick Pile Carpet; Floor: Thin Carpet on Concrete; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: Gypsum Plaster Tiles, 17% Perforated, 22mm",28.746,0.302516,1,13.132025,17.7954,1.04,0.0,17.7954,12.019552,0.368536
Ind-Zone-V0,2Bed,6,66.84,day,126,"Window: Glass Block and Wood Paneling; Window: Small Pane Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Fiberglass Board; Wall: Wood Paneling; Wall: Unpainted Brick; Wall: Concrete Block (Painted); Wall: Plaster with Wallpaper Backing; Wall: Acoustic Plaster; Floor: Vinyl Tile; Floor: Wood Parquet; Floor: Thin Carpet on Wood; Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing); Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",29.142,0.596665,2,20.472884,43.64188,1.04,0.0,43.64188,34.089381,0.865982
HD-Urban-V0,2Bed,12,40.48,day,126,"Window: Small Pane Glass and Painted Brick; Window: Large Pane Glass and Gypsum Board; Window: Frosted Glass and Concrete Block (Painted); Window: Laminated Glass and Fiberglass Board; Door: Steel Door with Acoustic Treatment and Unpainted Brick; Wall: Gypsum Board; Wall: Painted Brick; Wall: Plaster with Wallpaper Backing; Floor: Wood Parquet; Floor: Thin Carpet on Wood; Floor: Marble; Ceiling: 50mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass; Ceiling: Metal Deck (Perforated Channels, 25mm Batts)",19.476,0.892791,4,15.042517,22.983298,0.96,0.0,22.983298,16.27578,0.459527
Roadside-V3,1Bed,12,61.05,day,90,"Window: Glazed Ceramic Tile and Painted Brick; Door: Single Pane Glass Door and Concrete Block (Coarse); Wall: Gypsum Board; Wall: Acoustic Plaster; Wall: Acoustic Plaster; Wall: Unpainted Brick; Floor: Thick Pile Carpet; Floor: Medium Pile Carpet; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: Underlay in Perforated Metal Panels (25mm Batts)",27.459,0.316695,1,16.896671,36.496897,0.96,4.6,31.73345,11.099901,0.367867
Roadside-V1,3Bed,15,50.03,day,162,"Window: Large Pane Glass and Concrete Block (Coarse); Window: Insulated Glazing Unit and Unpainted Brick; Window: Double Pane Glass and Fiberglass Board; Window: Single Pane Glass and Plaster on Masonry; Door: Double Pane Glass Door and Gypsum Board; Wall: Concrete Block (Coarse); Wall: Plaster on Masonry; Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Concrete Block (Coarse); Floor: Cork Floor Tiles; Floor: Thin Carpet on Wood; Floor: Thick Pile Carpet; Floor: Terrazzo; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 50mm Mineral Wool Behind 25% Open Area Perforated Steel; Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",43.947,0.593488,4,20.466666,29.845451,0.96,4.6,25.076426,14.514115,0.782142
Roadside-V3,3Bed,15,61.05,day,162,"Window: Double Pane Glass and Plaster with Wallpaper Backing; Window: Frosted Glass and Acoustic Plaster; Window: Glazed Ceramic Tile and Plaster on Masonry; Window: Glazed Ceramic Tile and Wood Paneling; Window: Wired Glass and Painted Brick; Door: Single Pane Glass Door and Plaster with Wallpaper Backing; Wall: Concrete Block (Coarse); Wall: Acoustic Plaster; Wall: Painted Brick; Wall: Wood Paneling; Floor: Wood Parquet; Floor: Marble; Floor: Thin Carpet on Concrete; Floor: Thin Carpet on Wood; Ceiling: Underlay in Perforated Metal Panels (25mm Batts); Ceiling: Perforated Underside of Structural Steel Decking; Ceiling: Plasterboard 10mm Thick Backed with 25mm Thick Bitumen; Ceiling: Mineral Wool Tiles, 180mm Airspace",34.029,0.766464,5,20.60188,40.865451,0.96,4.6,36.096435,24.618421,0.784288
LD-Urban-V3,3Bed,3,43.21,day,162,"Window: Frosted Glass and Fiberglass Board; Window: Laminated Glass and Unpainted Brick; Window: Single Pane Glass and Plaster with Wallpaper Backing; Window: Wired Glass and Wood Paneling; Window: Single Pane Glass and Fiberglass Board; :  and Painted Brick; Door: Plywood Door and Wood Paneling; Wall: Acoustic Plaster; Wall: Wood Paneling; Wall: Acoustic Plaster; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Floor: Wood Flooring on Joists; Floor: Thin Carpet on Concrete; Ceiling: Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing; Ceiling: Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Perforated Underside of Structural Steel Decking",43.173,0.604128,6,11.175408,27.977882,0.96,4.6,23.125381,11.408788,0.723016
Roadside-V1,1Bed,6,39.94,night,90,"Window: Wired Glass and Concrete Block (Painted); Door: Laminated Glass Door and Wood Paneling; Wall: Fiberglass Board; Wall: Plaster on Masonry; Wall: Fiberglass Board; Wall: Plaster on Masonry; Floor: Thick Pile Carpet; Floor: Thin Carpet on Concrete; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: Gypsum Plaster Tiles, 17% Perforated, 22mm",28.746,0.302516,1,12.643184,18.109061,0.96,4.6,13.698654,8.817575,0.304497
Ind-Zone-V0,2Bed,6,66.84,day,126,"Window: Glass Block and Wood Paneling; Window: Small Pane Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Fiberglass Board; Wall: Wood Paneling; Wall: Unpainted Brick; Wall: Concrete Block (Painted); Wall: Plaster with Wallpaper Backing; Wall: Acoustic Plaster; Floor: Vinyl Tile; Floor: Wood Parquet; Floor: Thin Carpet on Wood; Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing); Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",29.142,0.596665,2,19.915911,43.882125,0.96,4.6,39.046013,29.502267,0.931513
